Total Nacional,Comunidades y Ciudades Autónomas,Provincias,Viviendas y plazas,Periodo,Total
Total Nacional,"04 Balears, Illes","07 Balears, Illes",Viviendas turísticas,2025M05,"24,361"
Total Nacional,"04 Balears, Illes","07 Balears, Illes",Viviendas turísticas,2024M11,"24,19"
Total Nacional,"04 Balears, Illes","07 Balears, Illes",Viviendas turísticas,2024M08,"26,979"
Total Nacional,"04 Balears, Illes","07 Balears, Illes",Viviendas turísticas,2024M02,"25,073"
Total Nacional,"04 Balears, Illes","07 Balears, Illes",Viviendas turísticas,2023M08,"26,507"
Total Nacional,"04 Balears, Illes","07 Balears, Illes",Viviendas turísticas,2023M02,"25,393"
Total Nacional,"04 Balears, Illes","07 Balears, Illes",Viviendas turísticas,2022M08,"27,038"
Total Nacional,"04 Balears, Illes","07 Balears, Illes",Viviendas turísticas,2022M02,"26,458"
Total Nacional,"04 Balears, Illes","07 Balears, Illes",Viviendas turísticas,2021M08,"29,211"
Total Nacional,"04 Balears, Illes","07 Balears, Illes",Viviendas turísticas,2021M02,"27,703"
Total Nacional,"04 Balears, Illes","07 Balears, Illes",Viviendas turísticas,2020M08,"29,237"
Total Nacional,05 Canarias,"35 Palmas, Las",Viviendas turísticas,2025M05,"27,038"
Total Nacional,05 Canarias,"35 Palmas, Las",Viviendas turísticas,2024M11,"27,217"
Total Nacional,05 Canarias,"35 Palmas, Las",Viviendas turísticas,2024M08,"27,106"
Total Nacional,05 Canarias,"35 Palmas, Las",Viviendas turísticas,2024M02,"25,07"
Total Nacional,05 Canarias,"35 Palmas, Las",Viviendas turísticas,2023M08,"24,062"
Total Nacional,05 Canarias,"35 Palmas, Las",Viviendas turísticas,2023M02,"23,161"
Total Nacional,05 Canarias,"35 Palmas, Las",Viviendas turísticas,2022M08,"22,209"
Total Nacional,05 Canarias,"35 Palmas, Las",Viviendas turísticas,2022M02,"21,095"
Total Nacional,05 Canarias,"35 Palmas, Las",Viviendas turísticas,2021M08,"21,097"
Total Nacional,05 Canarias,"35 Palmas, Las",Viviendas turísticas,2021M02,"20,462"
Total Nacional,05 Canarias,"35 Palmas, Las",Viviendas turísticas,2020M08,"20,272"
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viviendas turísticas,2025M05,"23,648"
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viviendas turísticas,2024M11,"24,069"
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viviendas turísticas,2024M08,"24,049"
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viviendas turísticas,2024M02,"21,714"
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viviendas turísticas,2023M08,"20,314"
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viviendas turísticas,2023M02,"19,49"
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viviendas turísticas,2022M08,"18,726"
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viviendas turísticas,2022M02,"17,673"
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viviendas turísticas,2021M08,"18,23"
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viviendas turísticas,2021M02,"17,393"
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viviendas turísticas,2020M08,"17,519"
Total Nacional,06 Cantabria,39 Cantabria,Viviendas turísticas,2025M05,"7,698"
Total Nacional,06 Cantabria,39 Cantabria,Viviendas turísticas,2024M11,"7,496"
Total Nacional,06 Cantabria,39 Cantabria,Viviendas turísticas,2024M08,"8,678"
Total Nacional,06 Cantabria,39 Cantabria,Viviendas turísticas,2024M02,"6,954"
Total Nacional,06 Cantabria,39 Cantabria,Viviendas turísticas,2023M08,"6,92"
Total Nacional,06 Cantabria,39 Cantabria,Viviendas turísticas,2023M02,"5,701"
Total Nacional,06 Cantabria,39 Cantabria,Viviendas turísticas,2022M08,"6,281"
Total Nacional,06 Cantabria,39 Cantabria,Viviendas turísticas,2022M02,"4,826"
Total Nacional,06 Cantabria,39 Cantabria,Viviendas turísticas,2021M08,"5,362"
Total Nacional,06 Cantabria,39 Cantabria,Viviendas turísticas,2021M02,"4,323"
Total Nacional,06 Cantabria,39 Cantabria,Viviendas turísticas,2020M08,"4,886"
Total Nacional,07 Castilla y León,05 Ávila,Viviendas turísticas,2025M05,"1,327"
Total Nacional,07 Castilla y León,05 Ávila,Viviendas turísticas,2024M11,"1,328"
Total Nacional,07 Castilla y León,05 Ávila,Viviendas turísticas,2024M08,"1,363"
Total Nacional,07 Castilla y León,05 Ávila,Viviendas turísticas,2024M02,"1,126"
Total Nacional,07 Castilla y León,05 Ávila,Viviendas turísticas,2023M08,"1,121"
Total Nacional,07 Castilla y León,05 Ávila,Viviendas turísticas,2023M02,"1,016"
Total Nacional,07 Castilla y León,05 Ávila,Viviendas turísticas,2022M08,992
Total Nacional,07 Castilla y León,05 Ávila,Viviendas turísticas,2022M02,852
Total Nacional,07 Castilla y León,05 Ávila,Viviendas turísticas,2021M08,847
Total Nacional,07 Castilla y León,05 Ávila,Viviendas turísticas,2021M02,786
Total Nacional,07 Castilla y León,05 Ávila,Viviendas turísticas,2020M08,799
Total Nacional,07 Castilla y León,09 Burgos,Viviendas turísticas,2025M05,"1,005"
Total Nacional,07 Castilla y León,09 Burgos,Viviendas turísticas,2024M11,973
Total Nacional,07 Castilla y León,09 Burgos,Viviendas turísticas,2024M08,"1,03"
Total Nacional,07 Castilla y León,09 Burgos,Viviendas turísticas,2024M02,843
Total Nacional,07 Castilla y León,09 Burgos,Viviendas turísticas,2023M08,779
Total Nacional,07 Castilla y León,09 Burgos,Viviendas turísticas,2023M02,720
Total Nacional,07 Castilla y León,09 Burgos,Viviendas turísticas,2022M08,710
