provincia-ccaa,2011 - Q1,2011 - Q2,2011 - Q3,2011 - Q4,2012 - Q1,2012 - Q2,2012 - Q3,2012 - Q4,2013 - Q1,2013 - Q2,2013 - Q3,2013 - Q4,2014 - Q1,2014 - Q2,2014 - Q3,2014 - Q4,2015 - Q1,2015 - Q2,2015 - Q3,2015 - Q4,2016 - Q1,2016 - Q2,2016 - Q3,2016 - Q4,2017 - Q1,2017 - Q2,2017 - Q3,2017 - Q4,2018 - Q1,2018 - Q2,2018 - Q3,2018 - Q4,2019 - Q1,2019 - Q2,2019 - Q3,2019 - Q4,2020 - Q1,2020 - Q2,2020 - Q3,2020 - Q4,2021 - Q1,2021 - Q2,2021 - Q3,2021 - Q4,2022 - Q1,2022 - Q2,2022 - Q3,2022 - Q4,2023 - Q1,2023 - Q2,2023 - Q3,2023 - Q4,2024 - Q1,2024 - Q2,2024 - Q3,2024 - Q4,2025 - Q1
Albacete          ,"111,31","127,84","125,66","97,63","144,59","142,87","97,8","101,24","101,97","95,93","82,68","99,06","42,73","80,33","81,83",92,"88,71","74,26","70,96","84,92","83,25","96,18","80,79","111,82","79,81","78,59","86,8","81,45","80,13","57,36","74,46","100,75","95,03","85,92","94,88","92,24","95,4","64,01","93,63","92,67","71,18","117,81","91,34","99,09","65,81","91,69","84,68","83,77","91,48","108,34","110,9","76,93","94,11","128,91","84,08","90,86","128,39"
Ciudad Real       ,"127,08","146,34","128,42","118,36","126,06","131,26","106,69","224,21","99,76","203,79","121,43","74,98","89,45","110,81","90,96","116,56","92,55","92,68","102,95","89,55","104,46","115,53","98,2","129,61","93,73","95,93","110,45","84,93","98,46","121,27","109,95","109,59","103,27","116,73","87,07","120,36","108,49","86,39","113,33","101,27","100,51","114,29","111,4","104,43","120,29","110,9","127,44","121,71","124,19","149,13","101,76","94,84","131,28","120,77","119,05","116,34","138,58"
Cuenca            ,"78,24","77,01","71,67","87,35","60,14","102,05","57,69","71,58","77,3","65,69","63,18","78,73","66,48","83,34","77,67","81,11","65,22","68,09","71,3","70,62","76,07","54,35","67,13","80,11","77,62","53,94","59,88","66,25","69,41","81,26","66,79","70,55","98,25","75,81","84,25","94,78","72,5","74,28","54,77","76,94","60,7","90,27","60,4","79,85","91,82","108,71","80,92","67,64","89,02","73,39","81,4",83,"102,49","90,38","88,6","82,95","111,47"
Guadalajara       ,"288,67","137,16","134,01","132,88","356,47","247,77","161,86","176,78","132,97","86,05","110,95","64,55","96,98","79,39","73,56","79,92","88,38","85,17","95,37","98,66","92,4","84,73","118,26","84,86","110,84","128,84","107,86","97,08","119,34","127,03","90,35","87,47","87,81","73,38","103,14","99,93","79,56","95,95","77,2","108,63","69,65","105,03","100,41","90,48","110,54","75,82","95,23","99,12","87,32","86,45","77,7","91,21","67,89","74,16","106,48","136,98","98,57"
Toledo            ,"276,92","172,28","161,74","138,8","111,39","125,1","96,39","106,44","127,61","147,21","98,67","119,18","57,69","77,64","82,01","91,5","101,58","105,62","89,69","94,58","100,82","95,86","88,4","92,52","91,78","91,53","103,45","92,87","91,82","82,38","77,32","64,84","82,16","105,33","75,78","97,06","87,22","83,28","77,07","88,9","61,64","116,91","79,5","78,88","85,28","99,35","102,2","102,32","68,07","79,66","102,15","94,92","113,61","104,3","100,04","102,54","117,9"
Cataluña,"267,29","291,33","175,25","235,25","200,78","297,6","211,92","173,1","169,29","218,92","165,18","200,3","161,75","167,87","184,5","204,71","176,56","175,33","203,39","179,24","177,86","181,42","176,49","189,52","190,58","201,9","183,24","181,61","185,88","175,92","174,74","174,84","173,82","185,81","183,99","181,45","183,03","160,07","165,48","159,78","158,74","174,99","158,23","170,98","172,21","186,72","153,05","174,42","164,41","159,58","180,88","170,37","162,1","174,73","183,66","199,61","184,68"
Barcelona,"374,21",376,"201,3","282,66","279,66","393,56","286,42","222,35","254,05","285,38","193,65","258,55","204,48","224,13","234,19","277,81","228,79","214,34","268,79","225,2","224,86","224,11","240,73","231,12","240,74","246,77","239,44","242,71","237,09","215,24","228,31","214,35","215,3","226,1","223,53","225,18","215,65","202,73","195,87","187,65","186,8","204,94","180,91","201,33","203,77","211,18","186,03","211,8","192,3","169,57","199,16","186,29","183,48","198,8","206,56","227,79","210,66"
Girona,"216,41","226,33","158,07","208,74","161,19","250,04","196,86","163,41","119,89","193,16","147,22","153,21","134,4","139,62","139,71","122,91","127,72","157,15","142,27","137,11","135,59","145,97","125,12","144,92","159,61","150,81","137,16","126,33","138,14","143,08","140,05","145,89","143,21","160,02","167,33","166,09","169,16","145,33","143,55","134,61","146,98","157,72","150,33","166,04","160,45","187,51","164,24","171,08","182,33","185,49","191,26","173,36","170,06","178,33","183,3","174,04","181,85"
Lleida,"100,96","176,88","135,8","144,67","143,08","186,19","105,7","80,21","147,67","154,21","124,71","136,38","136,6","162,91","117,32","104,04","108,09","100,23","119,87","108,46","114,31","80,4","98,24","113,75","117,43","97,78","96,96","100,93","78,57","95,97","72,29","79,39","108,53","101,67","99,99","103,39","98,12","80,85","117,83","111,67","114,98","122,31","126,9","114,33","109,09","122,56","105,71","116,35","116,2","115,55","121,87","117,31","103,46","119,29","118,39","195,83","132,47"
Tarragona,"215,71","231,42","138,2","218,72","117,55","194,77","160,91","132,06","94,45",125,"149,51","140,85","127,28","110,64","155,1","118,74","110,16","107,76","99,43","125,57","112,32","93,78","96,77","106,86","122,81","105,45","103,8","97,99","102,22","116,58","113,13",111,"98,48","102,54","106,53","120,45","128,7","89,79","117,06","115,07","97,93","120,78","108,71","106,62","109,65","107,8","94,22","99,69","83,39","98,12","122,27","140,11","130,26","113,21","140,17","162,03",142
Comunitat Valenciana,"271,9","194,52","183,21","203,77","205,4","229,39","219,04","183,63","177,92","181,16","200,72","174,99","176,14","131,58","160,57","163,3","157,83","156,12","150,61","156,3","128,68","150,71","137,3","146,07","158,62","138,46","156,66","182,45","154,84","160,08","160,63","149,61","163,12","164,01","158,17","167,24","157,84","154,69","161,19","154,26","142,5","155,95","152,64","170,1","164,43","175,57","176,23","175,81","185,07","174,98","181,9","173,84","197,42","202,34","181,83","220,32","206,76"
Alicante/Alacant,"176,26","171,25","151,04","165,54","207,42","215,04","231,2","152,57","163,29","185,96","204,63","201,73","174,85","100,88","141,15","172,37","156,78","147,77","140,66","151,52","109,98","166,53","123,98","142,34","157,09","134,81","152,18","145,23",158,"155,37","154,95","151,36","144,02","164,27","156,1","180,95","165,66","176,5","174,13","167,19","152,57","167,89","164,24","178,96","196,08","193,51","196,67","186,45","197,97","182,85","199,09","166,04","220,07","230,22","191,46","199,94","211,25"
