provincia-ccaa,2011 - Q1,2011 - Q2,2011 - Q3,2011 - Q4,2012 - Q1,2012 - Q2,2012 - Q3,2012 - Q4,2013 - Q1,2013 - Q2,2013 - Q3,2013 - Q4,2014 - Q1,2014 - Q2,2014 - Q3,2014 - Q4,2015 - Q1,2015 - Q2,2015 - Q3,2015 - Q4,2016 - Q1,2016 - Q2,2016 - Q3,2016 - Q4,2017 - Q1,2017 - Q2,2017 - Q3,2017 - Q4,2018 - Q1,2018 - Q2,2018 - Q3,2018 - Q4,2019 - Q1,2019 - Q2,2019 - Q3,2019 - Q4,2020 - Q1,2020 - Q2,2020 - Q3,2020 - Q4,2021 - Q1,2021 - Q2,2021 - Q3,2021 - Q4,2022 - Q1,2022 - Q2,2022 - Q3,2022 - Q4,2023 - Q1,2023 - Q2,2023 - Q3,2023 - Q4,2024 - Q1,2024 - Q2,2024 - Q3,2024 - Q4,2025 - Q1
Madrid (Comunidad de),"2360,9","2351,5","2295,1","2260,7","2181,6","2116,2","2035,8","1980,8","1998,6","2026,6","2042,8","2022,4","2010,6","2008,1","2006,2","2033,4","2044,1",2078,"2075,7","2101,9","2129,6","2178,2","2165,4","2203,3","2234,5","2263,6","2305,2","2354,9","2413,2","2481,5","2496,7",2546,"2612,7","2610,3","2611,1","2671,7","2637,2",2589,"2610,3","2573,6","2598,6","2661,4","2684,9","2760,1","2846,2","2899,7","2873,9","2888,1","2978,3","2978,6","3008,1",3080,"3116,7",3198,"3274,6","3370,5","3476,6"
Málaga            ,"1826,5","1824,7","1744,4",1701,"1687,4","1660,4","1575,7","1548,9","1544,3",1535,"1484,3","1447,2","1466,3","1477,3","1492,5","1482,4","1487,2","1481,3","1524,5","1520,2","1539,8","1565,2",1531,"1587,4","1615,9","1611,5","1615,2","1649,5","1680,7","1714,8","1734,1","1786,1","1768,9","1815,1","1825,2","1834,9","1808,9","1811,2","1788,6","1810,5","1804,3","1852,1","1924,3","1921,6","1980,8","2015,7","2066,1","2072,4","2152,1",2187,"2230,4","2272,8","2327,4","2400,7","2440,1","2522,2","2614,2"
Melilla,1537,"1672,3","1607,1","1677,8","1647,6","1622,9","1647,2","1574,7","1585,7","1509,6",n.r,"1481,2","1468,5","1457,1","1430,4","1488,6","1505,1","1434,4","1467,9",1463,"1489,3","1468,1","1493,5","1504,8","1551,6","1572,5","1563,1","1520,7","1556,5","1613,2","1604,9","1653,9","1687,7","1641,9","1613,3","1667,7","1624,2","1647,6","1684,5","1657,4","1647,5",1689,"1699,1","1670,1","1737,7","1772,2","1765,4","1814,7","1797,9","1814,8","1886,7","1846,7",1914,"1916,1","1867,9","1915,1","1904,4"
Murcia (Región de),"1267,9","1242,3","1248,5",1231,"1185,5","1172,5","1129,1","1059,1",1057,"1062,3","1048,5","1005,6","993,9","1001,2","993,7","997,6","980,5","987,9","988,6","996,3","988,8","984,5","984,2","970,3","973,7","971,4","967,9","990,1","990,5","985,8","963,1","976,9","1003,1","997,4","989,3",974,"982,6","948,3","957,7","977,6","981,1",1000,"985,8","1027,1","1044,9","1016,4","1030,5","1025,6","1048,6","1030,9","1054,7","1095,4","1101,7","1098,5","1095,3",1132,"1173,6"
Navarra (Comunidad Foral de),"1482,1","1464,3","1389,6","1449,4","1405,9","1377,8","1350,2","1382,6","1399,2","1410,4","1407,6","1366,8","1349,3","1322,3","1301,5","1309,6","1306,8","1340,1","1329,2","1337,9","1308,3","1311,1","1353,4",1300,"1342,2","1325,4","1335,9","1353,9","1325,1",1367,"1376,7","1383,7","1417,2","1412,2","1439,9","1467,5","1434,3","1396,3","1396,2",1408,"1418,5","1410,4","1427,6","1458,2","1509,9","1519,8","1502,3","1547,2","1560,5","1580,5","1569,7","1605,3","1643,6","1677,5","1624,6","1672,8","1719,4"
Ourense,"1144,6","1129,7","1085,4","1115,8","1064,5","1018,7",n.r,"1024,7",997,992,"966,2","948,8","960,6","930,1","964,7",942,"961,4","945,8","957,2",983,"948,7","949,8","944,8","953,8","917,8","946,9","952,3","937,3","953,2","950,6","918,1","928,7","957,4","955,7","934,6","954,5","942,8",917,"914,9","920,5","898,7","891,3","890,6","906,6","919,2",929,"932,6","931,4","960,3","962,1","938,7","929,1","936,4","944,4","973,1","966,7","977,1"
País Vasco,"2603,5","2578,5","2599,1","2566,1","2553,9",2515,"2507,5","2517,5","2524,1","2536,7","2506,3","2451,6",2441,"2443,4","2438,6","2416,1","2405,1","2441,2","2405,1","2384,4","2360,2","2399,3","2361,9","2356,2","2396,8","2396,9","2366,8",2387,"2360,4","2381,2","2339,3","2375,6","2405,6","2378,3","2402,8","2424,4","2401,9","2391,3","2343,5","2391,7","2428,7","2431,1","2421,3","2454,7","2502,2","2500,1","2523,9","2517,1","2540,8",2549,"2528,7","2565,4","2575,2",2620,"2582,7",2632,"2715,8"
Palencia          ,"1189,6","1194,4","1215,9","1147,8","1127,1",n.r,n.r,"1121,4","1061,4","1057,2","1029,7","1059,6","1028,5","1009,2",1013,"1017,5","1052,9","1062,7","1044,7","1027,8","1053,1","1009,3","1003,6","1043,6","1011,8","1021,1","989,2","997,1","999,4","966,6","993,6","1019,4","1002,2","987,6","950,5","939,9","956,1",942,"943,3","931,1","903,8","903,9","929,7",890,"910,8","944,4","916,4","927,8","951,9","946,8","960,8","931,1","942,4","957,3","928,7","954,7","975,7"
Palmas (Las)      ,"1542,3","1517,6","1493,3","1433,6","1426,4","1372,2","1305,3","1256,6","1298,1",1328,"1320,7","1344,5",1321,1310,"1329,7","1340,8","1364,3","1357,1","1364,5","1369,9","1403,1","1421,6","1430,6","1462,8","1475,1","1479,1","1518,4","1525,7","1543,7","1558,3","1573,3","1574,5","1607,7","1593,2","1600,3","1635,1","1614,8","1569,2","1573,2","1581,9","1581,1","1620,2",1625,"1636,2","1680,6",1711,"1702,3","1684,4","1740,5","1754,9","1787,7","1784,9",1831,"1834,3","1858,1","1908,7","1975,5"
Pontevedra,"1522,9","1455,9","1495,1","1454,7","1361,1","1312,1","1268,8","1230,7","1262,7","1255,1","1278,9","1278,9",1264,"1250,1","1233,1","1235,8","1209,6","1226,6","1214,4","1216,7","1222,6","1242,9","1209,9","1242,2","1225,9","1216,2","1245,1","1228,8","1223,6","1248,1","1229,5","1254,3","1252,8","1262,8","1264,4","1269,7","1268,9","1243,6","1271,1","1265,4","1288,8","1276,7","1270,2","1302,9","1331,4","1368,1","1360,6","1344,2","1376,6",1380,"1404,2","1423,3","1457,7",1464,"1506,9","1517,8","1564,8"
Rioja (La),"1463,8","1433,1","1388,7",1347,"1347,7","1347,7","1307,2","1307,2",1234,"1174,8","1141,9","1092,8","1100,6",1118,"1092,4","1061,9","1095,4","1103,8","1124,3",1096,"1072,4","1103,1","1067,2","1098,3","1076,6","1100,9","1071,7",1078,"1078,7","1110,9",1136,"1129,7","1128,6","1088,1","1073,6","1108,4","1102,7",1077,"1089,9","1111,4",1079,"1089,3","1110,6","1099,7","1128,8","1155,4","1132,4","1142,1","1166,1","1184,4","1213,9","1196,6","1232,3","1209,8","1224,1","1262,3","1303,7"
Salamanca         ,"1423,3","1436,8","1383,5","1358,6","1324,6","1292,8","1296,7","1307,1","1288,8","1219,2","1199,7","1199,7","1210,9","1180,9","1167,8","1175,4","1225,2","1190,1","1217,3","1191,9",1220,"1205,3","1173,9","1214,4",1199,"1178,4","1214,7","1186,9","1183,2","1147,1","1176,8",1173,"1173,4","1181,3","1178,3","1201,9","1204,5","1191,4",1184,"1162,1","1147,7","1141,5","1178,3",1183,"1178,8","1217,9","1198,3","1176,2",1215,1188,1175,"1218,1","1202,6",1199,"1237,9","1230,7","1271,9"
Santa Cruz de Tenerife,"1528,4",1453,"1511,1","1444,6",1472,"1399,9","1343,9","1282,1","1235,9","1250,7","1245,7","1198,4","1192,1","1225,1",1235,"1228,5","1240,9","1274,7","1256,9","1275,3","1263,2","1288,7","1261,6","1286,3","1297,3","1324,4",1320,"1329,3","1337,5","1357,6","1397,5","1394,5","1417,9","1439,6","1433,2","1428,6","1452,2","1400,7","1417,2",1440,"1417,9","1425,9","1469,4","1497,2","1509,8","1494,8","1503,3","1554,8","1600,6","1642,3","1678,9","1697,9","1746,9","1788,9","1816,1","1873,7","1957,1"
